	fisher_odds_ratio	P.Value	frac_mut_MMRD	frac_mut_MMRP	num_mut_MMRD	num_mut_MMRP	num_WT_MMRD	num_WT_MMRP	adj.P.Val
SMG1	inf	0.003943541226539363	4 / 45	0 / 142	4.0	0.0	45.0	142.0	0.03587065855140344
RNF217	inf	0.003943541226539363	4 / 45	0 / 142	4.0	0.0	45.0	142.0	0.03587065855140344
KCNH5	inf	0.003943541226539363	4 / 45	0 / 142	4.0	0.0	45.0	142.0	0.03587065855140344
ERCC5	inf	0.003943541226539363	4 / 45	0 / 142	4.0	0.0	45.0	142.0	0.03587065855140344
UGT1A3	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
CCDC15	inf	0.003943541226539363	4 / 45	0 / 142	4.0	0.0	45.0	142.0	0.03587065855140344
MS4A2	inf	0.003943541226539363	4 / 45	0 / 142	4.0	0.0	45.0	142.0	0.03587065855140344
GLI3	inf	0.003943541226539363	4 / 45	0 / 142	4.0	0.0	45.0	142.0	0.03587065855140344
PIK3C2G	12.533333333333333	0.01592178409645785	4 / 45	1 / 141	4.0	1.0	45.0	141.0	0.07964073241484108
CDH15	inf	0.003943541226539363	4 / 45	0 / 142	4.0	0.0	45.0	142.0	0.03587065855140344
STIL	inf	0.003943541226539363	4 / 45	0 / 142	4.0	0.0	45.0	142.0	0.03587065855140344
UTP20	12.533333333333333	0.01592178409645785	4 / 45	1 / 141	4.0	1.0	45.0	141.0	0.07964073241484108
PTPRT	inf	0.003943541226539363	4 / 45	0 / 142	4.0	0.0	45.0	142.0	0.03587065855140344
KDM2B	inf	0.003943541226539363	4 / 45	0 / 142	4.0	0.0	45.0	142.0	0.03587065855140344
ZMYM6	inf	0.003943541226539363	4 / 45	0 / 142	4.0	0.0	45.0	142.0	0.03587065855140344
COL27A1	inf	0.003943541226539363	4 / 45	0 / 142	4.0	0.0	45.0	142.0	0.03587065855140344
BCOR	12.533333333333333	0.01592178409645785	4 / 45	1 / 141	4.0	1.0	45.0	141.0	0.07964073241484108
ATXN2	inf	0.003943541226539363	4 / 45	0 / 142	4.0	0.0	45.0	142.0	0.03587065855140344
ADRA2B	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
MPP6	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ANK2	9.195652173913043	0.0526377024585906	3 / 46	1 / 141	3.0	1.0	46.0	141.0	0.16304225663956803
NEK1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
HMMR	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
PCDHGC3	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
LIAS	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ALPK1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
GLI2	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
VCPIP1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
DENND4C	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ZNF711	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
PLEKHG2	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ATP11B	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
PRR35	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
GEN1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
GCN1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
GANAB	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ST8SIA3	inf	0.06481124276660392	2 / 47	0 / 142	2.0	0.0	47.0	142.0	0.16304225663956803
DENND5A	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
SPOUT1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ABCA13	6.0	0.16219956523071125	2 / 47	1 / 141	2.0	1.0	47.0	141.0	0.26305134182689816
ITGAE	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
PPP1R12A	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
TNKS	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
GRAMD1B	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
HYDIN	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
GALNT15	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ZBTB7A	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
MMS22L	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ANKRD26P1	9.195652173913043	0.0526377024585906	3 / 46	1 / 141	3.0	1.0	46.0	141.0	0.16304225663956803
MLC1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
KALRN	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
SLC9A3	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
LINGO4	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
OR14C36	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
BDP1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
PCF11	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
CFAP74	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
SLC16A1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
CASP8AP2	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ZHX3	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
SMC4	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
PCNX3	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
MTA1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
MATK	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
HOXB2	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
INO80E	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
MGAT4FP	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
AGRN	inf	0.06481124276660392	2 / 47	0 / 142	2.0	0.0	47.0	142.0	0.16304225663956803
UNC13C	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
PPRC1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
EPRS1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
PDGFRA	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
RESP18	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
NPR1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
PFKP	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
RALGAPA2	inf	0.06481124276660392	2 / 47	0 / 142	2.0	0.0	47.0	142.0	0.16304225663956803
MYO1A	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ZC3HAV1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
PAK4	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
HNRNPDL	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
NLRP7	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ROR2	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
TUBGCP5	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
RTL5	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ATAD2	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
CENPF	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
DCAF5	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ABL1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
SYNCRIP	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
DNAJB5	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
FBXO46	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
DYRK1B	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
PCDH9	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
AGL	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
POLRMT	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
KCNK13	9.195652173913043	0.0526377024585906	3 / 46	1 / 141	3.0	1.0	46.0	141.0	0.16304225663956803
PHF21A	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ANO6	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
NLK	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
PPP2R3C	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
CHADL	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ANO5	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ZNF7	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
PNPLA7	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
SPTBN4	9.195652173913043	0.0526377024585906	3 / 46	1 / 141	3.0	1.0	46.0	141.0	0.16304225663956803
COG2	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
CPAMD8	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
KIAA1109	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
DZIP1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
PLOD2	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
SYMPK	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
WDFY4	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ZGRF1	inf	0.06481124276660392	2 / 47	0 / 142	2.0	0.0	47.0	142.0	0.16304225663956803
CHD6	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
CRYBG1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
MED8	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
USP47	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
KL	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
NCKIPSD	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ZMYM3	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
R3HDM2	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
DDR1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
PBXIP1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
CLDN4	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
DVL1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
NOTCH3	9.195652173913043	0.0526377024585906	3 / 46	1 / 141	3.0	1.0	46.0	141.0	0.16304225663956803
COL11A2	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
TERT	inf	0.06481124276660392	2 / 47	0 / 142	2.0	0.0	47.0	142.0	0.16304225663956803
ZMYM4	9.195652173913043	0.0526377024585906	3 / 46	1 / 141	3.0	1.0	46.0	141.0	0.16304225663956803
SPTY2D1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ICE2	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ZDHHC7	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
SAFB	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
COL7A1	inf	0.06481124276660392	2 / 47	0 / 142	2.0	0.0	47.0	142.0	0.16304225663956803
CD58	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
SLC16A12	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
TLCD3B	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ADAM28	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
PDZD7	9.195652173913043	0.0526377024585906	3 / 46	1 / 141	3.0	1.0	46.0	141.0	0.16304225663956803
NKTR	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ZNF638	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
PHKB	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
TUT4	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
VPS13B	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ANKK1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
LSR	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
SLC2A1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
WDR6	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ESPNL	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
PUM2	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
COG6	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
COL1A1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ZNF14	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
PREX2	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
CHEK1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ITPKB	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ABCA12	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
TM9SF3	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
APIP	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
NT5C1B-RDH14	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
QKI	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ASCC3	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
CANX	inf	0.06481124276660392	2 / 47	0 / 142	2.0	0.0	47.0	142.0	0.16304225663956803
GRIN3B	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
DNAJA3	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
CMSS1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ABCA7	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
DDB1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
TSSK2	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
PKD1L1	inf	0.06481124276660392	2 / 47	0 / 142	2.0	0.0	47.0	142.0	0.16304225663956803
THOC1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ADAMTS10	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
EGR1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
DAB1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
DCHS1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
E2F5	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
WDR78	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
SLC4A2	6.0	0.16219956523071125	2 / 47	1 / 141	2.0	1.0	47.0	141.0	0.26305134182689816
SYNE1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
CTBP2	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
BTBD7	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
KIAA2012	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
EDEM2	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
SCRIB	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
TEX11	inf	0.06481124276660392	2 / 47	0 / 142	2.0	0.0	47.0	142.0	0.16304225663956803
EPB41L4A	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
TPR	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
FBXO11	inf	0.06481124276660392	2 / 47	0 / 142	2.0	0.0	47.0	142.0	0.16304225663956803
ABTB1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
HSF5	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
RBM6	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ZC3H6	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
DCP1B	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
TEX15	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
P2RY13	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
NEURL4	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
SCN2A	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
GATAD2A	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
TTF1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
AIRE	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
FBN2	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
XKR5	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
CAPN6	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
KMT5B	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
PPOX	9.195652173913043	0.0526377024585906	3 / 46	1 / 141	3.0	1.0	46.0	141.0	0.16304225663956803
SPG11	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
DOCK2	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
SLC25A17	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
GABRA6	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ANKRD36C	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
CRYBG3	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
AHNAK	9.195652173913043	0.0526377024585906	3 / 46	1 / 141	3.0	1.0	46.0	141.0	0.16304225663956803
MGAM2	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
MGA	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
CCND1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
CHRNA4	9.195652173913043	0.0526377024585906	3 / 46	1 / 141	3.0	1.0	46.0	141.0	0.16304225663956803
PLG	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
UNKL	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ZZEF1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
B4GALT6	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ADAM7	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
TRAF3	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
CERT1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ZFX	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
PRRT2	inf	0.06481124276660392	2 / 47	0 / 142	2.0	0.0	47.0	142.0	0.16304225663956803
FLNA	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ULK2	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ZNF777	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
PPP2R5A	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
PANK2	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
OR7C2	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
DBF4B	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
DLAT	inf	0.06481124276660392	2 / 47	0 / 142	2.0	0.0	47.0	142.0	0.16304225663956803
EPHA2	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
INVS	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
TTBK1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
NOX5	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
MCM3AP	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
MYO5A	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
KIAA1671	inf	0.06481124276660392	2 / 47	0 / 142	2.0	0.0	47.0	142.0	0.16304225663956803
MISP3	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
CCND3	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
MAD2L2	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
OR7C1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
ARHGEF11	9.195652173913043	0.0526377024585906	3 / 46	1 / 141	3.0	1.0	46.0	141.0	0.16304225663956803
PSME4	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
DLL1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
IMMP2L	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
PIBF1	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
CUBN	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
GLIS3	inf	0.01611708153455268	3 / 46	0 / 142	3.0	0.0	46.0	142.0	0.07964073241484108
